Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Begin Path
1162	Spectrogram 1	1	21731.713000000	21734.021000000	30.9	143.9	2.308	113.0	-51.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1163	Spectrogram 1	1	21733.106000000	21736.886000000	33.3	248.0	3.780	214.7	-51.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1164	Spectrogram 1	1	21735.692000000	21737.682000000	22.0	152.8	1.990	130.8	-50.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1165	Spectrogram 1	1	21736.010000000	21739.671000000	21.1	54.5	3.661	33.4	-45.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1166	Spectrogram 1	1	21737.881000000	21740.626000000	29.3	166.7	2.745	137.4	-49.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1167	Spectrogram 1	1	21738.676000000	21741.223000000	30.1	274.8	2.547	244.7	-51.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1168	Spectrogram 1	1	21740.944000000	21744.764000000	23.6	57.7	3.820	34.1	-46.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1169	Spectrogram 1	1	21742.814000000	21744.804000000	34.1	282.1	1.990	248.0	-53.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1170	Spectrogram 1	1	21749.499000000	21751.209000000	39.0	138.2	1.710	99.2	-51.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1171	Spectrogram 1	1	21754.989000000	21761.196000000	22.0	56.1	6.207	34.1	-51.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1172	Spectrogram 1	1	21756.620000000	21758.093000000	30.1	128.5	1.473	98.4	-53.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1173	Spectrogram 1	1	21769.679000000	21772.981000000	7.3	74.8	3.302	67.5	-46.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1174	Spectrogram 1	1	21770.276000000	21774.732000000	13.0	111.4	4.456	98.4	-48.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1175	Spectrogram 1	1	21773.459000000	21775.727000000	38.2	54.5	2.268	16.3	-47.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1176	Spectrogram 1	1	21784.679000000	21786.867000000	21.1	35.0	2.188	13.9	-55.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1177	Spectrogram 1	1	21795.740000000	21796.774000000	32.9	64.6	1.034	31.7	-48.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1178	Spectrogram 1	1	21802.703000000	21805.766000000	27.6	227.6	3.063	200.0	-55.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1179	Spectrogram 1	1	21806.562000000	21809.467000000	30.1	48.8	2.905	18.7	-51.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1180	Spectrogram 1	1	21809.626000000	21812.650000000	21.1	54.5	3.024	33.4	-53.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1181	Spectrogram 1	1	21812.530000000	21813.724000000	31.7	46.3	1.194	14.6	-56.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1182	Spectrogram 1	1	21829.369000000	21831.597000000	27.6	87.0	2.228	59.4	-65.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1183	Spectrogram 1	1	21835.695000000	21837.326000000	34.1	132.5	1.631	98.4	-50.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1184	Spectrogram 1	1	21838.003000000	21840.191000000	36.6	280.5	2.188	243.9	-50.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1185	Spectrogram 1	1	21838.619000000	21842.638000000	19.5	39.4	4.019	19.9	-51.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1186	Spectrogram 1	1	21841.663000000	21844.448000000	21.1	280.5	2.785	259.4	-50.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1187	Spectrogram 1	1	21844.866000000	21846.875000000	35.8	50.4	2.009	14.6	-61.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1188	Spectrogram 1	1	21847.949000000	21850.337000000	39.8	56.9	2.388	17.1	-61.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1189	Spectrogram 1	1	21849.780000000	21853.480000000	10.6	55.3	3.700	44.7	-53.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1190	Spectrogram 1	1	21857.379000000	21860.124000000	26.8	43.1	2.745	16.3	-45.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1191	Spectrogram 1	1	21858.772000000	21865.496000000	9.8	220.3	6.724	210.5	-48.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1192	Spectrogram 1	1	21860.562000000	21863.347000000	18.7	130.9	2.785	112.2	-44.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1193	Spectrogram 1	1	21864.581000000	21867.406000000	13.0	213.8	2.825	200.8	-49.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1194	Spectrogram 1	1	21865.138000000	21866.530000000	40.7	112.2	1.392	71.5	-47.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1195	Spectrogram 1	1	21867.883000000	21875.124000000	11.4	65.0	7.241	53.6	-44.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1196	Spectrogram 1	1	21868.679000000	21873.612000000	15.4	236.6	4.933	221.2	-48.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1197	Spectrogram 1	1	21873.501000000	21876.207000000	30.9	45.5	2.706	14.6	-45.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1198	Spectrogram 1	1	21875.729000000	21881.419000000	21.1	87.8	5.690	66.7	-51.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1199	Spectrogram 1	1	21879.828000000	21882.255000000	30.1	60.2	2.427	30.1	-53.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1200	Spectrogram 1	1	21883.289000000	21886.591000000	26.8	80.5	3.302	53.7	-57.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1201	Spectrogram 1	1	21890.331000000	21893.554000000	12.2	114.6	3.223	102.4	-53.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1202	Spectrogram 1	1	21892.400000000	21894.748000000	21.1	35.8	2.348	14.7	-59.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1203	Spectrogram 1	1	21900.716000000	21902.666000000	20.3	35.8	1.950	15.5	-59.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1204	Spectrogram 1	1	21982.854000000	21986.793000000	23.6	40.7	3.939	17.1	-61.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1205	Spectrogram 1	1	22085.315000000	22089.971000000	22.8	89.4	4.656	66.6	-56.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1206	Spectrogram 1	1	22088.677000000	22090.707000000	29.3	52.8	2.030	23.5	-52.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1207	Spectrogram 1	1	22090.098000000	22092.406000000	13.0	109.8	2.308	96.8	-59.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1208	Spectrogram 1	1	22091.650000000	22093.679000000	28.5	148.8	2.029	120.3	-53.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1209	Spectrogram 1	1	22093.003000000	22095.549000000	26.0	38.2	2.546	12.2	-59.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1210	Spectrogram 1	1	22094.355000000	22096.504000000	43.1	236.6	2.149	193.5	-52.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1211	Spectrogram 1	1	22108.560000000	22113.135000000	24.4	56.9	4.575	32.5	-53.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1212	Spectrogram 1	1	22113.652000000	22117.870000000	20.3	56.9	4.218	36.6	-50.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1213	Spectrogram 1	1	22114.190000000	22116.139000000	31.7	44.7	1.949	13.0	-51.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1214	Spectrogram 1	1	22124.475000000	22126.345000000	26.8	39.0	1.870	12.2	-59.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1215	Spectrogram 1	1	22125.469000000	22128.971000000	32.5	95.9	3.502	63.4	-55.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1216	Spectrogram 1	1	22135.297000000	22136.331000000	32.5	53.7	1.034	21.2	-61.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1217	Spectrogram 1	1	22142.061000000	22144.647000000	29.3	47.2	2.586	17.9	-61.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1218	Spectrogram 1	1	22218.827000000	22221.891000000	29.3	66.7	3.064	37.4	-59.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1219	Spectrogram 1	1	22231.758000000	22234.345000000	20.3	52.0	2.587	31.7	-56.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1220	Spectrogram 1	1	22235.976000000	22238.602000000	24.4	41.5	2.626	17.1	-51.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1221	Spectrogram 1	1	22245.843000000	22248.987000000	16.3	33.3	3.144	17.0	-53.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1222	Spectrogram 1	1	22246.002000000	22249.185000000	11.4	48.8	3.183	37.4	-53.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1223	Spectrogram 1	1	22267.297000000	22270.520000000	29.3	48.8	3.223	19.5	-56.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1224	Spectrogram 1	1	22291.289000000	22294.989000000	22.8	54.5	3.700	31.7	-58.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1225	Spectrogram 1	1	22304.069000000	22306.098000000	26.8	40.7	2.029	13.9	-63.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1226	Spectrogram 1	1	22358.618000000	22359.811000000	29.3	62.6	1.193	33.3	-64.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1227	Spectrogram 1	1	22366.066000000	22367.419000000	26.8	92.7	1.353	65.9	-55.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1228	Spectrogram 1	1	22380.907000000	22383.573000000	13.0	108.9	2.666	95.9	-50.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1229	Spectrogram 1	1	22381.663000000	22386.199000000	8.1	79.7	4.536	71.6	-50.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1230	Spectrogram 1	1	22458.740000000	22462.639000000	26.0	42.3	3.899	16.3	-62.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1231	Spectrogram 1	1	22533.080000000	22534.393000000	30.1	49.6	1.313	19.5	-62.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1232	Spectrogram 1	1	22534.552000000	22537.257000000	29.3	62.6	2.705	33.3	-60.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1233	Spectrogram 1	1	22552.536000000	22554.525000000	30.1	47.2	1.989	17.1	-62.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1234	Spectrogram 1	1	22560.931000000	22563.517000000	30.1	46.3	2.586	16.2	-62.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1235	Spectrogram 1	1	22570.957000000	22574.697000000	35.8	52.0	3.740	16.2	-58.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1236	Spectrogram 1	1	22574.459000000	22576.130000000	30.9	43.1	1.671	12.2	-61.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1237	Spectrogram 1	1	22591.257000000	22595.475000000	28.5	83.7	4.218	55.2	-61.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1238	Spectrogram 1	1	22652.936000000	22654.846000000	23.6	40.7	1.910	17.1	-60.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1239	Spectrogram 1	1	22685.133000000	22688.674000000	29.3	65.0	3.541	35.7	-61.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1240	Spectrogram 1	1	22705.464000000	22707.533000000	30.9	64.2	2.069	33.3	-59.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1241	Spectrogram 1	1	22726.770000000	22731.028000000	30.9	68.3	4.258	37.4	-55.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1242	Spectrogram 1	1	22732.520000000	22734.350000000	34.1	48.0	1.830	13.9	-58.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1243	Spectrogram 1	1	22783.894000000	22785.803000000	16.3	82.9	1.909	66.6	-62.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1244	Spectrogram 1	1	22841.594000000	22845.811000000	21.1	37.4	4.217	16.3	-62.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1245	Spectrogram 1	1	22846.695000000	22849.918000000	11.4	116.3	3.223	104.9	-49.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1246	Spectrogram 1	1	22850.196000000	22853.141000000	33.3	48.0	2.945	14.7	-45.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1247	Spectrogram 1	1	22850.912000000	22857.637000000	7.3	196.7	6.725	189.4	-52.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1248	Spectrogram 1	1	22855.329000000	22861.178000000	13.8	105.7	5.849	91.9	-50.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1249	Spectrogram 1	1	22860.422000000	22862.491000000	40.7	55.3	2.069	14.6	-55.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1250	Spectrogram 1	1	22870.130000000	22874.666000000	30.9	48.0	4.536	17.1	-50.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1251	Spectrogram 1	1	22882.743000000	22885.488000000	29.3	64.2	2.745	34.9	-56.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1252	Spectrogram 1	1	22908.454000000	22911.278000000	28.5	65.0	2.824	36.5	-52.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1253	Spectrogram 1	1	22909.508000000	22911.855000000	24.4	59.3	2.347	34.9	-51.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1254	Spectrogram 1	1	22913.347000000	22917.366000000	12.2	106.5	4.019	94.3	-53.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1255	Spectrogram 1	1	22914.939000000	22918.719000000	23.6	37.4	3.780	13.8	-51.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1256	Spectrogram 1	1	22916.809000000	22920.032000000	14.6	52.8	3.223	38.2	-53.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1257	Spectrogram 1	1	22922.061000000	22925.920000000	28.5	43.9	3.859	15.4	-62.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1258	Spectrogram 1	1	22929.700000000	22932.764000000	29.3	68.7	3.064	39.4	-54.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1259	Spectrogram 1	1	22932.963000000	22935.430000000	26.8	60.2	2.467	33.4	-50.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1260	Spectrogram 1	1	22998.382000000	23002.679000000	30.9	67.5	4.297	36.6	-51.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1261	Spectrogram 1	1	23001.644000000	23003.315000000	24.4	37.4	1.671	13.0	-52.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1262	Spectrogram 1	1	23004.907000000	23009.244000000	8.1	245.5	4.337	237.4	-51.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1263	Spectrogram 1	1	23027.873000000	23029.703000000	18.7	48.0	1.830	29.3	-56.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1264	Spectrogram 1	1	23054.968000000	23061.095000000	9.8	248.8	6.127	239.0	-51.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1265	Spectrogram 1	1	23130.740000000	23139.851000000	16.3	41.5	9.111	25.2	-60.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1266	Spectrogram 1	1	23181.915000000	23184.183000000	28.5	42.3	2.268	13.8	-62.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1267	Spectrogram 1	1	23238.024000000	23240.172000000	21.1	36.6	2.148	15.5	-56.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1268	Spectrogram 1	1	23249.244000000	23251.472000000	28.5	63.4	2.228	34.9	-55.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1269	Spectrogram 1	1	23255.729000000	23257.798000000	22.0	57.7	2.069	35.7	-57.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1270	Spectrogram 1	1	23294.729000000	23298.668000000	8.9	150.4	3.939	141.5	-56.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1271	Spectrogram 1	1	23299.424000000	23302.130000000	29.7	64.6	2.706	34.9	-54.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1272	Spectrogram 1	1	23339.678000000	23341.946000000	22.0	52.8	2.268	30.8	-53.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1273	Spectrogram 1	1	23343.239000000	23346.263000000	31.7	65.0	3.024	33.3	-54.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1274	Spectrogram 1	1	23346.183000000	23349.525000000	22.0	78.9	3.342	56.9	-52.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1275	Spectrogram 1	1	23350.878000000	23352.748000000	29.3	46.3	1.870	17.0	-63.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1276	Spectrogram 1	1	23363.769000000	23365.321000000	29.3	45.5	1.552	16.2	-62.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1277	Spectrogram 1	1	23380.361000000	23382.032000000	22.0	34.1	1.671	12.1	-63.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1278	Spectrogram 1	1	23427.716000000	23430.183000000	27.6	69.1	2.467	41.5	-58.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1279	Spectrogram 1	1	23438.149000000	23442.247000000	32.5	48.8	4.098	16.3	-51.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1280	Spectrogram 1	1	23442.724000000	23445.788000000	25.2	57.7	3.064	32.5	-58.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1281	Spectrogram 1	1	23448.931000000	23453.347000000	28.5	124.4	4.416	95.9	-56.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1282	Spectrogram 1	1	23464.727000000	23466.915000000	30.9	44.7	2.188	13.8	-58.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1283	Spectrogram 1	1	23480.483000000	23482.631000000	32.5	67.5	2.148	35.0	-60.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1284	Spectrogram 1	1	23491.742000000	23494.010000000	17.1	59.3	2.268	42.2	-48.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1285	Spectrogram 1	1	23494.138000000	23496.645000000	28.5	50.4	2.507	21.9	-48.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1286	Spectrogram 1	1	23498.634000000	23500.146000000	31.7	66.7	1.512	35.0	-58.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1287	Spectrogram 1	1	23529.788000000	23532.135000000	27.6	63.4	2.347	35.8	-57.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1288	Spectrogram 1	1	23624.976000000	23628.278000000	30.1	68.3	3.302	38.2	-54.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1289	Spectrogram 1	1	23635.440000000	23641.448000000	8.9	284.6	6.008	275.7	-50.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1290	Spectrogram 1	1	23639.777000000	23642.960000000	31.7	48.8	3.183	17.1	-46.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1291	Spectrogram 1	1	23659.440000000	23661.111000000	26.0	39.0	1.671	13.0	-59.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1292	Spectrogram 1	1	23685.621000000	23688.366000000	25.2	39.0	2.745	13.8	-55.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1293	Spectrogram 1	1	23703.207000000	23704.878000000	26.0	48.8	1.671	22.8	-59.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1294	Spectrogram 1	1	23730.947000000	23734.209000000	24.4	39.8	3.262	15.4	-55.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1295	Spectrogram 1	1	23769.111000000	23771.578000000	23.6	39.0	2.467	15.4	-58.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1296	Spectrogram 1	1	23771.578000000	23773.687000000	26.8	42.3	2.109	15.5	-57.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1297	Spectrogram 1	1	23790.000000000	23792.825000000	23.6	39.8	2.825	16.2	-57.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1298	Spectrogram 1	1	23835.127000000	23836.997000000	24.4	38.2	1.870	13.8	-55.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1299	Spectrogram 1	1	23856.891000000	23859.955000000	9.8	58.5	3.064	48.7	-49.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1300	Spectrogram 1	1	23859.995000000	23863.695000000	28.5	47.2	3.700	18.7	-55.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
1301	Spectrogram 1	1	23881.607000000	23884.512000000	8.9	162.6	2.905	153.7	-61.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
